"Buy this product and ","Buy this product and "
"Earn %1 to %2 Reward Points","Earn %1 to %2 Reward Points"
" Reward Points"," Reward Points"
"Use Reward Point on purchase","Use Reward Point on purchase"
Type,Type
Points,Points
"Select Type","Select Type"
"Search by Point","Search by Point"
"Select Status","Select Status"
Save,Save
Submit,Submit
"Last Transactions","Last Transactions"
Description,Description
"Expiration Date","Expiration Date"
"Status Description","Status Description"
"No records found!","No records found!"
"No Reward Points","No Reward Points"
"Shopping with Us and Earn Reward Points","Shopping with Us and Earn Reward Points"
"Please contact to Admin.","Please contact to Admin."
"Submit your review to ","Submit your review to "
"No customers added. Please add customers.","No customers added. Please add customers."
"Previous Page","Previous Page"
"Next Page","Next Page"
"Hello %customername, ","Hello %customername, "
%message,%message
%message1,%message1
"Apply Reward Point","Apply Reward Point"
" equals to "," equals to "
"Apply Reward Points","Apply Reward Points"
" Rewards "," Rewards "
" Rewards )"," Rewards )"
"Apply Reward Point's","Apply Reward Point's"
"Register for become user and","Register for become user and"
Earn,Earn
"click here","click here"
"to Register","to Register"
"Are you sure you want to set reward points on selected product?","Are you sure you want to set reward points on selected product?"
"Please Select Products To Assign Reward Points","Please Select Products To Assign Reward Points"
"Are you sure you want to set reward points on selected category?","Are you sure you want to set reward points on selected category?"
"Please Select Categories To Assign Reward Points","Please Select Categories To Assign Reward Points"
Saving,Saving
"Your reward was successfully cancelled","Your reward was successfully cancelled"
"Your reward was successfully applied","Your reward was successfully applied"
Seoudi,Seoudi
"Reward System","Reward System"
"General Settings of Reward Points","General Settings of Reward Points"
"Enable Reward System Module","Enable Reward System Module"
"1 Reward Point Value is Equals to","1 Reward Point Value is Equals to"
"e.g. 10","e.g. 10"
"Maximum Reward Points can Assign to a Customer","Maximum Reward Points can Assign to a Customer"
"e.g. 1000 (Maximum number of points assign to a customer)","e.g. 1000 (Maximum number of points assign to a customer)"
"Maximum Reward Points can be Used By a Customer","Maximum Reward Points can be Used By a Customer"
"e.g. 1000 (Maximum number of points can be used by the customer at the time of order place)","e.g. 1000 (Maximum number of points can be used by the customer at the time of order place)"
"Allow Reward Points on Registration","Allow Reward Points on Registration"
"Reward Points On Registration","Reward Points On Registration"
"Allow Reward Points on Product Review","Allow Reward Points on Product Review"
"Reward Points On Product Review","Reward Points On Product Review"
"Order Placed Reward Points Applied When","Order Placed Reward Points Applied When"
"Reward points for placed order will Approved on the selected event.","Reward points for placed order will Approved on the selected event."
"Order Placed Reward Points Calculation Based On","Order Placed Reward Points Calculation Based On"
"Reward points for placed order will calculate based on Product/Cart/Category.","Reward points for placed order will calculate based on Product/Cart/Category."
"Rewards Applied product's Quantity wise","Rewards Applied product's Quantity wise"
"If yes then reward points will apply product's quantity wise.","If yes then reward points will apply product's quantity wise."
"Enter Attribute Code","Enter Attribute Code"
"Please select attribute for attribute rule.","Please select attribute for attribute rule."
"Allow Reward Points on Customer Birthday","Allow Reward Points on Customer Birthday"
"Configure Reward Point on Birthday Day(s)","Configure Reward Point on Birthday Day(s)"
"Reward points credit to customer after/before days of the customer birthday, if you want to credit reward before the birthday then write days with (-) sign for eg: -3 and if you want to credit reward after birthday then only write number of days for eg: 3 or if you want to credit reward on the day of birthday then write zero (0).","Reward points credit to customer after/before days of the customer birthday, if you want to credit reward before the birthday then write days with (-) sign for eg: -3 and if you want to credit reward after birthday then only write number of days for eg: 3 or if you want to credit reward on the day of birthday then write zero (0)."
"Reward Points On Birthday","Reward Points On Birthday"
"Reward points expire after days","Reward points expire after days"
"Write 0 if you don't want to set expiry for the points","Write 0 if you don't want to set expiry for the points"
"Send notification before points expiring (in days)","Send notification before points expiring (in days)"
"Cron Setting","Cron Setting"
Frequency,Frequency
"Manage Email Settings","Manage Email Settings"
"Reward Transaction Template","Reward Transaction Template"
"Reward Expiry Email Template","Reward Expiry Email Template"
"Cart Rule Status","Cart Rule Status"
"Are you sure to update status of selected Cart Rules?","Are you sure to update status of selected Cart Rules?"
"Attribute Rule Status","Attribute Rule Status"
"Are you sure to update status of selected Rule(s)?","Are you sure to update status of selected Rule(s)?"
